,date,user,text,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,result
156,2020/3/14 1:07,RMEngagement,RT @JveWagner: 馃帶馃帶馃帶Spanish podcast for our @Cochrane_CCMD,nan,nan,nan,nan,spanish podcast
157,2020/3/14 1:08,DISCONETFM,Now Playing: Neneh Cherry - Kisses On The Wind | #80s #disco #funk #radio #nowplaying  |  [[[[[   TUNE IN:  https://t.co/Emm2VCiflJ   ]]]]] https://t.co/NLU9hD3Vfu,nan,nan,nan,nan,playing neneh cherry kisses wind #disco #funk #radio #nowplaying tune
158,2020/3/14 1:08,dekubf,.. damn ma shit hurts #depression #fakelove #lies #homophobie @dekubf deku will never love you fre@k.,nan,nan,nan,nan,damn shit hurts #depression #fakelove #lies #homophobie deku will never love
159,2020/3/14 1:08,Nuwaveradio,Heddi - Jazz Not Jazz 326 - Listen Now https://t.co/jRl9hNY3cd #nuwaveradio #london #dollishill #radio #music #mix #DJ #tunein #jazz #funk #hiphop #jungle #soul #dub #electronic #eclectic,nan,nan,nan,nan,heddi jazz jazz listen #nuwaveradio #london #dollishill #radio #music #mix #tunein #jazz #funk #hiphop #jungle #soul #dub #electronic #eclectic
160,2020/3/14 1:09,blackwintershit,48 seguidores ,nan,nan,nan,nan,seguidores
161,2020/3/14 1:09,infolinkstravel,#Death #is #guaranteed. So why are #people #scared to #live #life? https://t.co/eDR8ZWfj3q,nan,nan,nan,nan,#death #guaranteed #people #scared #live #life
162,2020/3/14 1:09,NakternlCandles,In chaos there is opportunity~unknown,nan,nan,nan,nan,chaos there opportunity unknown
163,2020/3/14 1:09,Michaeltimeles1,Did i create all that sh*t?,nan,nan,nan,nan,create that
164,2020/3/14 1:09,70sdisconights,#NowPlaying Everybody's Talking by Silver Convention! Find us at: Google Play: https://t.co/lirLoRs1Ot Apple Store: https://t.co/mw3yTrZpWU Web Page: https://t.co/cXYoMn6RKl #Funk #DiscoMusic #Oldies #70s #DiscoNights #OldiesButGoodies,nan,nan,nan,nan,#nowplaying everybody talking silver convention find google play apple store page #funk #discomusic #oldies #disconights #oldiesbutgoodies
165,2020/3/14 1:09,kimber_silver21,RT @WendyESlater: TRADUKA addresses etheric energy imbalances and impediments  so that constricted energy in the etheric body is freed up,nan,nan,nan,nan,traduka addresses etheric energy imbalances impediments that constricted energy etheric body freed
166,2020/3/14 1:09,deffrenchies,#EnEcoute 馃帶,nan,nan,nan,nan,#enecoute
167,2020/3/14 1:09,pranali9412,RT @aaronmico: Depression isn鈥檛 always dark rooms and crying endlessly. Sometimes it鈥檚 getting up,nan,nan, work and smiling and laughing all day th鈥,nan,depression always dark rooms crying endlessly sometimes getting
168,2020/3/14 1:10,SkypeTherapist,Skype Therapy using mindfulness for overcoming #Anxiety and #Depression and #Addiction without drugs. Visit:聽https://t.co/JSi5A3iLYf,nan,nan,nan,nan,skype therapy using mindfulness overcoming #anxiety #depression #addiction without drugs visit
169,2020/3/14 1:10,DianeWi64742938,RT @sparkie316: My names Colin,nan,nan,nan,nan,names colin
170,2020/3/14 1:10,DonnaClaytonR,When the world speaks #fear,nan,nan,nan,nan,when world speaks #fear
171,2020/3/14 1:11,SagDecWho,After being on the internet and getting virus threats  cheats and scammers... After years in #Twitter and #FB scammers liars and cheaters.. even if you haven't realized #MSM only cares about ratings and Ad dollars... Take a good look.. It's #Fear &amp; #Panic that's Real,nan,nan,nan,nan,after being internet getting virus threats cheats scammers after years #twitter scammers liars cheaters even haven realized #msm only cares about ratings dollars take good look #fear #panic that real
172,2020/3/14 1:12,andresoficial03,Buenas Noches Venezuela.,nan,nan,nan,nan,buenas noches venezuela
173,2020/3/14 1:12,gloomyshadowz,We're fighting for a place Not to be alone #Fear #LeaveOutAllTheRestDemo,nan,nan,nan,nan,fighting place alone #fear #leaveoutalltherestdemo
174,2020/3/14 1:13,tiptopstop,This is about to be my very first @Apple product. #scared,nan,nan,nan,nan,this about very first product #scared
175,2020/3/14 1:13,NeonNoirASMR,FIXING YOUR HEADACHE,nan,nan,nan,nan,fixing your headache
176,2020/3/14 1:14,70sdisconights,#NowPlaying That's The Way by Kc &amp; The Sunshine Band! Find us at: Google Play: https://t.co/lirLoRs1Ot Apple Store: https://t.co/mw3yTrZpWU Web Page: https://t.co/cXYoMn6RKl #Funk #DiscoMusic #Oldies #70s #DiscoNights #OldiesButGoodies,nan,nan,nan,nan,#nowplaying that sunshine band find google play apple store page #funk #discomusic #oldies #disconights #oldiesbutgoodies
177,2020/3/14 1:14,JoySamms1,RT @michelelee_1: @martingeddes People always need something to #fear #panic and #complain about. You know... those #toxic tanias,nan,nan,nan,nan,people always need something #fear #panic #complain about know those #toxic tanias
178,2020/3/14 1:14,ROBNEHISTORIAN,RT @UrbanRadioMusic: #blastfromthepast #FullForce #HipHop #Rap #Throwback #FullForceGetBusy1Time #TemporaryLoveThing #VintageThrowback #Pop鈥,nan,nan,nan,nan,#blastfromthepast #fullforce #hiphop #rap #throwback #fullforcegetbusy time #temporarylovething #vintagethrowback #pop
179,2020/3/14 1:15,spiritledmag,5 Divine Declarations to Help You Fight Your #Coronavirus Fears: https://t.co/o45aIv2yIU #Fear #faith #coronapocalypse @AboundInFaith,nan,nan,nan,nan,divine declarations help fight your #coronavirus fears #fear #faith #coronapocalypse
180,2020/3/14 1:15,charismamag,5 Divine Declarations to Help You Fight Your #Coronavirus Fears: https://t.co/IjdIZoUIM3 #Fear #faith #coronapocalypse @AboundInFaith,nan,nan,nan,nan,divine declarations help fight your #coronavirus fears #fear #faith #coronapocalypse
181,2020/3/14 1:15,SkypeTherapist,#Addiction Treatment through Mindfulness Therapy via Skype. See:聽https://t.co/5CzOLobhW1聽 #addictionrecovery #addictions #AddictionTreatment #AddictionHelp #depression #depressiontreatment,nan,nan,nan,nan,#addiction treatment through mindfulness therapy skype #addictionrecovery #addictions #addictiontreatment #addictionhelp #depression #depressiontreatment
182,2020/3/14 1:15,Iamdepr47974144,I  think I'm just a bother to everyone. I'll kill myself . #depression @Imheret45140132,nan,nan,nan,nan,think just bother everyone kill myself #depression
183,2020/3/14 1:15,KRO13xxx,My two best failures in life were my attempts at suicide. #Depression  #Anxiety are all serious issues. If you battle these remember that you鈥檙e loved,nan,nan,nan,nan,best failures life were attempts suicide #depression #anxiety serious issues battle these remember that loved
184,2020/3/14 1:15,JahsFlowerTLC,#PositiveVibes &amp; Encouragement DAILY: #SuicidePrevention #Depression #Dementia #Addiction #COVID19 #CoronaVirus #CoronavirusSymptoms #Confinement #MarchMadness #NBA #NASCAR #Golf #TravelBan #Trump #JoeBiden #BernieSanders #Photography #Photo #Memes #Europe #Italy #Stocks #Selfies https://t.co/laZjwbJJ6I,nan,nan,nan,nan,#positivevibes encouragement daily #suicideprevention #depression #dementia #addiction #covid #coronavirus #coronavirussymptoms #confinement #marchmadness #nba #nascar #golf #travelban #trump #joebiden #berniesanders #photography #photo #memes #europe #italy #stocks #selfies
185,2020/3/14 1:15,DISCONETFM,Now Playing: Mtume - So You Wanna Be A Star | #80s #disco #funk #radio #nowplaying  |  [[[[[   TUNE IN:  https://t.co/Emm2VCiflJ   ]]]]] https://t.co/yu7zZ8M9OW,nan,nan,nan,nan,playing mtume wanna star #disco #funk #radio #nowplaying tune
186,2020/3/14 1:15,LadyJSaysSo,RT @KRO13xxx: My two best failures in life were my attempts at suicide. #Depression,nan,nan, #Mentalhealth, #Anxiety are all serious issues. If you鈥,best failures life were attempts suicide #depression
187,2020/3/14 1:15,MentalHRetweet,RT @KRO13xxx: My two best failures in life were my attempts at suicide. #Depression,nan,nan, #Mentalhealth, #Anxiety are all serious issues. If you鈥,best failures life were attempts suicide #depression
188,2020/3/14 1:15,hou_newdist,#depression is in full force with the #fullmoon &amp; #fridaythe13th so much weirdness today,nan,nan, I鈥檓 ready for bed. #nudist #depressionsucks #winenightalone #betterdaysaheadihope #Godpleasesendfriends https://t.co/es0LIqbTbm,nan,#depression full force with #fullmoon #fridaythe much weirdness today
189,2020/3/14 1:16,ronnylg123,RT @ronnylg123: True Self-Help Book: Sufferers w/#Anxiety #Depression #PTSD #OCD #AddictionRecovery #ADHD #ADD,nan,nan,nan,nan,true self help book sufferers #anxiety #depression #ptsd #ocd #addictionrecovery #adhd #add
