,date,user,text,result
65,2020/3/13 23:22,emontoya42,RT @MidtownComics: #WomensMonth is here,#womensmonth here
66,2020/3/13 23:22,PastorJimLyon,After first day of the WHWCA Conference this week,after first whwca conference this week
67,2020/3/13 23:22,isthiskev,All foreign teams will definitely not participate in the #Cphgames,foreign teams will definitely participate #cphgames
68,2020/3/13 23:22,setuna_kk,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
69,2020/3/13 23:22,SAM070101,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
70,2020/3/13 23:22,isthiskev,All foreign teams will definitely not participate in the #Cphgames,foreign teams will definitely participate #cphgames
71,2020/3/13 23:23,tom_3310,RT @MooiGirlz: 馃槏 #Amazing,#amazing
72,2020/3/13 23:23,gttytm,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
73,2020/3/13 23:23,0CN9nBkcwxC5rcS,RT @Avargas2403: #Feelings 馃挅 If you love someone,#feelings love someone
74,2020/3/13 23:23,ChrissyMonroe_,Reposted from @ChrissyMonroe_ Final days to get this #amazing deal DMIl for information !!!馃拫馃拫 @ Madison Ave. New York City https://t.co/5KKSKnPFCK,reposted from final days this #amazing deal dmil information madison york city
75,2020/3/13 23:23,kkk295n,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
76,2020/3/13 23:23,twizmwhytepiece,RT @DrJimmyStar: Download The Jimmy and Ron Song - the New Single by 鈦@twizmwhytepiece鈦 #amazing #gratitude  https://t.co/muP8yUBbN4 https:鈥,download jimmy song single #amazing #gratitude https
77,2020/3/13 23:24,Ant_Tha_Virgo,This is probably the 1,this probably
78,2020/3/13 23:24,Ellen71411,The main thing is to find caring hands ,main thing find caring hands
79,2020/3/13 23:24,nezuchu29_bot,RT @TrendChartJP: 銆3鏈13鏃(閲)銇甌witter銉堛儸銉炽儔銆,witter
80,2020/3/13 23:24,Britta2009,RT @jaingurug: #cute #amazing #FeelingGood  Best friend come in your ,#cute #amazing #feelinggood best friend come your
81,2020/3/13 23:24,yachan_go,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
82,2020/3/13 23:24,Toppromoterxox,The #gorgeous #amazing #sexy @favcunt19 Is looking outstanding and love working with her and will have so much more to come so show the love and make sure you #like #follow #retweet take a look at her account #sexy #tits #PUSSY #hot #superhot #xxx  #adult #mission35k 馃敟馃敟馃敟 https://t.co/NdkpeBDenO,#gorgeous #amazing #sexy looking outstanding love working with will have much more come show love make sure #like #follow #retweet take look account #sexy #tits #pussy #hot #superhot #xxx #adult #mission
83,2020/3/13 23:25,Kada_soulayman,It's : 2020-03-13T23:25:21.4846217Z ,
84,2020/3/13 23:25,isthiskev,All foreign teams will definitely not participate in the #Cphgames,foreign teams will definitely participate #cphgames
85,2020/3/13 23:25,_EFDP,RT @Toppromoterxox: The #gorgeous #amazing #sexy @favcunt19 Is looking outstanding and love working with her and will have so much more to鈥,#gorgeous #amazing #sexy looking outstanding love working with will have much more
86,2020/3/13 23:25,KattyDinsmore,@ the media you are ruining more than you know. #sad,media ruining more than know #sad
87,2020/3/13 23:25,gjgjgjc,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
88,2020/3/13 23:25,kiby32451,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
