,date,user,text,result
163,2020/3/14 5:48,Nahuel81246915,RT @chrishuizar: See PLENTY more EXCLUSIVE content NOW 馃槼馃槼馃槼,plenty more exclusive content
164,2020/3/14 5:51,hn_global11,Prophet Muhammad(PBUH) said :,prophet muhammad pbuh said
165,2020/3/14 5:51,jhnh007,In the Maldives to celebrate our 25th Anniversary....top photo is where we are supposed to be but #COVID19 has landed us with the view below next to Male airport. I would have thought 鈦#kuoni could have done MUCH better for its customers #disappointed 鈦︹仸@KuoniTravelUK鈦 https://t.co/6jpvsZXRXn,maldives celebrate anniversary photo where supposed #covid landed with view below next male airport would have thought #kuoni could have done much better customers #disappointed
166,2020/3/14 5:51,shanemcbarber1,Last beer of the night! #barber #denver #beer https://t.co/5RImeKxIkf,last beer night #barber #denver #beer
167,2020/3/14 5:54,Paurush,Have a question for @Cuemath  is it a difficult task to assign a teacher for a student after charging the fee? It鈥檚 been 3 months in waiting. #harassment #unprofessional #disappointed,have question difficult task assign teacher student after charging been months waiting #harassment #unprofessional #disappointed
168,2020/3/14 5:55,vuzhmusic,RT @CocoDavies: "Through [the] database,through database
169,2020/3/14 5:56,CarleyLoba,Ready to get into bed 馃洀锔,ready into
170,2020/3/14 5:57,MermaidNurse15,Y鈥檃ll  trust your mutha fuckin gut that it鈥檚 too good to be true! #disappointed #again #notsurprised,trust your mutha fuckin that good true #disappointed #again #notsurprised
171,2020/3/14 6:00,blanco_jom,@luljaypboi @damnsugui WHAT THE SHIT MAN @damnsugui LONG BREAK DOESNT MEAN DIET BREAK SUGS!! #disappointed,what shit long break doesnt mean diet break sugs #disappointed
172,2020/3/14 6:02,mazniak,RT @sofia_luisa_: Hey #denver if you need assistance due to COVID-19 or if you want to help  fill out this form to get connected to people鈥,#denver need assistance covid want help fill this form connected people
173,2020/3/14 6:03,Magnoliero,RT @FelixLlerenaCUB: Luego de regresar de Tennessee  me he trasladado a #Denver #Colora鈥,luego regresar tennessee trasladado #denver #colora
174,2020/3/14 6:04,TXFederalist,@TulsiGabbard &amp; when will the senate consider this? Monday?,when will senate consider this monday
175,2020/3/14 6:04,placards2011,RT @FelixLlerenaCUB: Luego de regresar de Tennessee  me he trasladado a #Denver #Colora鈥,luego regresar tennessee trasladado #denver #colora
176,2020/3/14 6:06,PoeticSlave,RT @1CypherSessions: This seems like a good time to reflect on everything that's led up to where things are today on this Friday the 13th i鈥,this seems like good time reflect everything that where things today this friday
177,2020/3/14 6:06,Marriedehcanuck,RT @therealrussellp: #SoundOn Although I鈥檓 still out here in these streets and looking forward to seeing you all... Don鈥檛 touch me馃し馃徑鈥嶁檪锔忦煒傪煒 #鈥,#soundon although still here these streets looking forward seeing touch
178,2020/3/14 6:07,HobbsSteely,Angry Bubble Gurlzzz #bubblegang #bubblegirls #angry #angrygirls @BubbleGangGMA @Valeentawak @lovelyabella_ @KimDomingoReal7 @denisebarbacena https://t.co/ME0oiFfXF8,angry bubble gurlzzz #bubblegang #bubblegirls #angry #angrygirls
179,2020/3/14 6:07,DNnite,So angry and disappointed with @NBN_Australia,angry disappointed with
180,2020/3/14 6:12,KyleClark,RT @DeannaRadio: Usually my neighborhood is bustling on a Friday night with people being loud on their way to the bars and clubs on Broadwa鈥,usually neighborhood bustling friday night with people being loud their bars clubs broadwa
181,2020/3/14 6:13,EdMcAndrew,@realDonaldTrump DJ! Total confidence losted after watching your national emergency speech. Unprepared and monotone. No catchy Nick name for the Corona virus? #disappointed #atlashasshrugged #presidentbankrupt,total confidence losted after watching your national emergency speech unprepared monotone catchy nick name corona virus #disappointed #atlashasshrugged #presidentbankrupt
182,2020/3/14 6:14,WhatsItMatter8,RT @DeannaRadio: Usually my neighborhood is bustling on a Friday night with people being loud on their way to the bars and clubs on Broadwa鈥,usually neighborhood bustling friday night with people being loud their bars clubs broadwa
