,date,user,text,result
235,2020/3/13 21:13,accoglienze,L'unione di stokazzo ha per caso un'opinione al riguardo? Una risposta da dare? Non 猫 compito loro? No? Ma a che cazzo serve leuropa?,unione stokazzo caso opinione riguardo risposta dare compito loro cazzo serve leuropa
236,2020/3/13 21:13,roundogAR,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
237,2020/3/13 21:13,ronin_doc,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
238,2020/3/13 21:13,_LPdesigns,Something exciting is happening here at HQ.... #jewellery #fluidart #paintpouring #jewelleryset #purple #red #blue #yellow #exciting #commingsoon https://t.co/WpYKeMh6Rc,Something exciting happening here #jewellery #fluidart #paintpouring #jewelleryset #purple #red #blue #yellow #exciting #commingsoon
239,2020/3/13 21:13,jozkli,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
240,2020/3/13 21:13,interna87113035,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
241,2020/3/13 21:13,MediceTiago,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
242,2020/3/13 21:13,FeImperador,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
243,2020/3/13 21:13,wolf8714,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
244,2020/3/13 21:13,matttyson,#adventure ,#adventure
